STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,01-SEP-2020,1.658,1.644,1.63,100.237,100.239,100.241,.12,.029,-.164,-.164,-.164,0,0,0,5
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,01-SEP-2020,1.684,1.67,1.656,100.79,100.797,100.803,.45,.406,.003,.003,.003,-.02,-.02,-.02,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,01-SEP-2020,1.722,1.708,1.694,102.094,102.106,102.118,.852,1.154,-.042,-.042,-.042,.011,.011,.011,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,01-SEP-2020,1.699,1.685,1.671,102.499,102.514,102.529,1.041,1.623,.002,.002,.002,-.027,-.027,-.028,4.7
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,01-SEP-2020,1.713,1.699,1.685,102.337,102.354,102.372,1.208,2.08,.001,.001,.001,-.021,-.022,-.022,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,01-SEP-2020,1.773,1.759,1.745,103.159,103.18,103.201,1.457,2.904,.015,.015,.015,-.044,-.044,-.045,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,01-SEP-2020,1.778,1.764,1.75,103.135,103.162,103.189,1.888,4.555,-.005,-.005,-.005,-.007,-.008,-.008,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,01-SEP-2020,1.795,1.781,1.767,104.062,104.092,104.121,1.973,4.993,-.006,-.006,-.006,-.009,-.008,-.008,4.7
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,01-SEP-2020,1.845,1.831,1.817,104.035,104.07,104.106,2.394,7.124,-.011,-.011,-.011,.01,.01,.01,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,01-SEP-2020,1.865,1.851,1.837,104.838,104.875,104.912,2.48,7.6,-.012,-.012,-.012,.01,.01,.01,4.7
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,01-SEP-2020,1.893,1.879,1.865,105.463,105.505,105.546,2.801,9.454,-.015,-.015,-.015,.025,.025,.024,4.7
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,01-SEP-2020,2.083,2.069,2.055,105.048,105.1,105.152,3.524,14.663,-.004,-.004,-.004,.001,0,0,5
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,01-SEP-2020,2.039,2.025,2.011,107.93,107.985,108.039,3.571,15.099,-.027,-.027,-.027,.084,.085,.085,4.3
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,01-SEP-2020,2.043,2.029,2.015,107.851,107.908,107.965,3.716,16.457,-.031,-.031,-.031,.108,.108,.108,4.3
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,01-SEP-2020,2.094,2.08,2.066,107.696,107.759,107.822,4.105,19.947,-.04,-.04,-.04,.163,.163,.163,4
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,01-SEP-2020,2.136,2.112,2.088,112.429,112.547,112.666,4.36,22.402,-.042,-.042,-.042,.183,.183,.183,2.3
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,01-SEP-2020,2.089,2.075,2.061,108.88,108.95,109.02,4.514,24.033,-.042,-.042,-.042,.195,.195,.195,5
MS110003,MYBMS1100036,MGS 3/2011 4.392% 15.04.2026,01-SEP-2020,2.225,2.206,2.187,111.384,111.491,111.597,4.95,28.909,-.031,-.031,-.031,.152,.153,.152,3
