STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VN110401,MYBVN1104014,AMAN IMTN 4.100% 21.10.2021 - Tranche No. 10,02-JAN-2020,3.414,3.379,3.344,101.184,101.245,101.306,1.712,3.836,-.002,-.002,-.002,0,0,0,1.3
VN120176,MYBVN1201760,AMAN IMTN 4.130% 12.04.2022 - Tranche No. 16,02-JAN-2020,3.444,3.404,3.364,101.485,101.572,101.66,2.141,5.769,.001,.001,.001,-.005,-.006,-.006,0
VK150070,MYBVK1500704,AMAN IMTN 4.290% 06.05.2022 - Tranche No 39,02-JAN-2020,3.444,3.409,3.374,101.885,101.965,102.044,2.205,6.083,.001,.001,.001,-.007,-.006,-.007,1.3
VN120281,MYBVN1202818,AMAN IMTN 3.900% 27.07.2022 - Tranche No. 22,02-JAN-2020,3.455,3.42,3.385,101.081,101.167,101.253,2.385,7.089,0,0,0,-.002,-.002,-.002,1.7
VP110030,MYBVP1100306,AMAN IMTN 4.750% 28.02.2023 - Tranche No. 5,02-JAN-2020,3.504,3.464,3.424,103.684,103.805,103.926,2.874,10.102,-.001,-.001,-.001,-.002,-.003,-.003,0
VN130094,MYBVN1300943,AMAN IMTN 4.100% 08.03.2023 - Tranche No 28,02-JAN-2020,3.502,3.472,3.442,101.782,101.873,101.963,2.93,10.41,-.001,-.001,-.001,0,0,0,2.3
VP110402,MYBVP1104027,AMAN IMTN 4.250% 20.10.2023 - Tranche No. 11,02-JAN-2020,3.547,3.512,3.477,102.473,102.598,102.723,3.462,14.281,-.001,-.001,-.001,.001,0,0,1.7
VP120177,MYBVP1201773,AMAN IMTN 4.250% 12.04.2024 - Tranche No. 17,02-JAN-2020,3.578,3.543,3.508,102.638,102.777,102.918,3.856,17.618,-.001,-.001,-.001,.001,0,.001,1.3
VN140144,MYBVN1401444,AMAN IMTN 4.780% 30.05.2024 - Tranche No 34,02-JAN-2020,3.579,3.549,3.519,104.856,104.981,105.106,3.953,18.495,-.001,-.001,-.001,-.002,-.002,-.002,2
VP120282,MYBVP1202821,AMAN IMTN 4.080% 26.07.2024 - Tranche No. 23,02-JAN-2020,3.585,3.555,3.525,102.064,102.191,102.318,4.069,19.686,-.001,-.001,-.001,.002,.002,.002,2
VP130095,MYBVP1300955,AMAN IMTN 4.220% 07.03.2025 - Tranche No 29,02-JAN-2020,3.613,3.583,3.553,102.84,102.983,103.126,4.573,24.692,0,0,0,-.002,-.002,-.003,2.7
VN150071,MYBVN1500716,AMAN IMTN 4.470% 08.05.2025 - Tranche No 40,02-JAN-2020,3.622,3.592,3.562,104.086,104.234,104.383,4.716,26.144,0,0,0,-.004,-.004,-.004,2.3
VS110031,MYBVS1100318,AMAN IMTN 5.050% 27.02.2026 - Tranche No. 6,02-JAN-2020,3.657,3.627,3.597,107.604,107.776,107.947,5.216,32.526,0,0,0,-.006,-.006,-.007,2
VP140145,MYBVP1401456,AMAN IMTN 4.930% 29.05.2026 - Tranche No 35,02-JAN-2020,3.672,3.637,3.602,107.121,107.327,107.534,5.483,35.476,-.001,-.001,-.001,.001,0,0,1.3
VS110403,MYBVS1104039,AMAN IMTN 4.450% 21.10.2026 - Tranche No. 12,02-JAN-2020,3.697,3.657,3.617,104.486,104.731,104.977,5.81,39.772,0,0,0,-.003,-.004,-.004,0
VS120178,MYBVS1201785,AMAN IMTN 4.400% 12.04.2027 - Tranche No. 18,02-JAN-2020,3.709,3.684,3.659,104.366,104.528,104.691,6.159,44.758,0,0,0,-.003,-.003,-.003,3.3
VP150072,MYBVP1500729,AMAN IMTN 4.570% 07.05.2027 - Tranche No 41,02-JAN-2020,3.734,3.694,3.654,105.324,105.587,105.851,6.201,45.375,0,0,0,-.003,-.004,-.004,0
VS120283,MYBVS1202833,AMAN IMTN 4.230% 27.07.2027 - Tranche No. 24,02-JAN-2020,3.74,3.705,3.67,103.2,103.434,103.668,6.341,47.774,0,0,0,-.002,-.002,-.002,1.3
VS130096,MYBVS1300967,AMAN IMTN 4.250% 08.03.2028 - Tranche No 30,02-JAN-2020,3.779,3.739,3.699,103.284,103.569,103.855,6.805,54.929,0,0,0,-.002,-.002,-.002,0
VS140146,MYBVS1401468,AMAN IMTN 5.130% 30.05.2029 - Tranche No 36,02-JAN-2020,3.848,3.808,3.768,110.037,110.369,110.703,7.51,67.838,0,0,0,-.005,-.006,-.005,0
VS150073,MYBVS1500731,AMAN IMTN 4.700% 08.05.2030 - Tranche No 42,02-JAN-2020,3.892,3.852,3.812,106.825,107.177,107.531,8.183,80.726,-.001,-.001,-.001,.006,.006,.006,0
VI160033,MYBVI1600334,GIC IMTN 5.100% 16.03.2021,02-JAN-2020,4.085,4.055,4.025,101.175,101.21,101.245,1.144,1.898,-.009,-.009,-.009,.006,.005,.005,2
VN120196,MYBVN1201968,GIC IMTN 5.100% 20.06.2022,02-JAN-2020,4.198,4.168,4.138,102.089,102.16,102.23,2.297,6.56,.001,.001,.001,-.007,-.007,-.008,2
VS120197,MYBVS1201975,GIC IMTN 5.300% 18.06.2027,02-JAN-2020,4.454,4.414,4.374,105.317,105.577,105.837,6.147,45.054,0,0,0,-.004,-.004,-.004,0
UU140169,MYBUU1401698,SCSB ABSMTN 5961D 01.4.2031 (Sub Class 2),02-JAN-2020,14.672,14.322,13.972,101.604,103.438,105.321,4.949,37.309,-.002,-.002,-.002,.009,.01,.01,0
US160072,MYBUS1600723,SCSB ABSMTN 5412D 01.4.2031 (Sub Class 5),02-JAN-2020,14.672,14.322,13.972,101.604,103.438,105.321,4.949,37.309,-.002,-.002,-.002,.009,.01,.01,0
UT150083,MYBUT1500830,SCSB ABSMTN 5654D 01.4.2031 (Sub Class 4),02-JAN-2020,14.672,14.322,13.972,101.604,103.438,105.321,4.949,37.309,-.002,-.002,-.002,.009,.01,.01,0
US160122,MYBUS1601226,SCSB ABSMTN 5264D 01.4.2031 (Sub Class 6),02-JAN-2020,14.672,14.322,13.972,101.604,103.438,105.321,4.949,37.309,-.002,-.002,-.002,.009,.01,.01,0
UT150036,MYBUT1500368,SCSB ABSMTN 5825D 01.4.2031 (Sub Class 3),02-JAN-2020,14.672,14.322,13.972,101.604,103.438,105.321,4.949,37.309,-.002,-.002,-.002,.009,.01,.01,0
UX110015,MYBUX1100153,SCSB ABSMTN 7305D 01.4.2031 (Sub Class1),02-JAN-2020,14.672,14.322,13.972,101.604,103.438,105.321,4.949,37.309,-.002,-.002,-.002,.009,.01,.01,0
UI170045,MYBUI1700458,SCSB ABSMTN 1644D 30.9.2021 (A3),02-JAN-2020,3.524,3.484,3.444,100.23,100.24,100.249,.24,.175,-.012,-.012,-.012,-.002,-.002,-.003,0
VN110219,MYBVN1102190,TELEKOM IMTN 4.500% 25.06.2021,02-JAN-2020,3.375,3.335,3.295,101.608,101.666,101.724,1.422,2.746,0,0,0,-.006,-.006,-.006,0
VN110356,MYBVN1103560,TELEKOM IMTN 4.200% 13.09.2021,02-JAN-2020,3.403,3.363,3.323,101.298,101.364,101.43,1.609,3.443,0,0,0,-.004,-.005,-.005,0
VN110485,MYBVN1104857,TELEKOM IMTN 4.200% 10.12.2021,02-JAN-2020,3.424,3.384,3.344,101.44,101.516,101.591,1.845,4.378,0,0,0,-.005,-.004,-.004,0
VN120191,MYBVN1201919,TELEKOM IMTN 4.000% 13.05.2022,02-JAN-2020,3.459,3.419,3.379,101.214,101.305,101.396,2.23,6.197,.005,0,-.005,-.014,-.003,.008,0
VN120455,MYBVN1204558,TELEKOM IMTN 3.950% 19.12.2022,02-JAN-2020,3.51,3.47,3.43,101.226,101.339,101.451,2.773,9.285,0,0,0,-.003,-.002,-.003,0
VN130121,MYBVN1301214,TELEKOM IMTN 3.950% 28.04.2023,02-JAN-2020,3.544,3.504,3.464,101.257,101.382,101.508,3.07,11.31,-.008,-.008,-.008,.023,.023,.023,0
