STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MK130006,MYBMK1300062,MGS 6/2013 3.889% 31.07.2020,01-JUL-2020,2.11,2.095,2.08,100.144,100.145,100.146,.082,.014,.006,.006,.006,-.005,-.005,-.005,4.7
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,01-JUL-2020,2.064,2.049,2.034,100.455,100.459,100.463,.288,.166,.023,.023,.023,-.011,-.011,-.011,5
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,01-JUL-2020,2.001,1.986,1.971,100.887,100.896,100.905,.609,.677,-.002,-.002,-.002,-.002,-.003,-.003,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,01-JUL-2020,2.037,2.022,2.007,102.169,102.185,102.201,.999,1.515,-.03,-.03,-.03,.025,.025,.025,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,01-JUL-2020,2.094,2.079,2.064,102.391,102.409,102.428,1.206,2.073,.004,.004,.004,-.009,-.01,-.01,4.7
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,01-JUL-2020,2.1,2.085,2.07,102.105,102.126,102.147,1.373,2.584,.002,.002,.002,-.006,-.006,-.006,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,01-JUL-2020,2.142,2.127,2.112,102.875,102.9,102.925,1.62,3.488,-.04,-.04,-.04,.062,.061,.061,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,01-JUL-2020,2.211,2.196,2.181,102.489,102.52,102.552,2.02,5.194,-.03,-.03,-.03,.06,.06,.06,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,01-JUL-2020,2.205,2.19,2.175,103.467,103.5,103.533,2.136,5.742,-.038,-.038,-.038,.081,.08,.08,4.7
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,01-JUL-2020,2.254,2.239,2.224,103.2,103.24,103.28,2.555,7.998,-.016,-.016,-.016,.04,.04,.04,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,01-JUL-2020,2.29,2.275,2.26,103.958,104,104.041,2.642,8.504,-.019,-.019,-.019,.047,.047,.047,5
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,01-JUL-2020,2.351,2.336,2.321,104.344,104.39,104.436,2.911,10.27,-.012,-.012,-.012,.033,.033,.033,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,01-JUL-2020,2.4,2.385,2.37,104.042,104.1,104.158,3.684,15.897,-.035,-.035,-.035,.13,.13,.131,5
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,01-JUL-2020,2.444,2.429,2.414,106.64,106.7,106.759,3.657,16.012,-.038,-.038,-.038,.145,.145,.145,4
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,01-JUL-2020,2.453,2.438,2.423,106.438,106.5,106.563,3.873,17.724,-.025,-.025,-.025,.1,.1,.101,4.3
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,01-JUL-2020,2.494,2.479,2.464,106.122,106.191,106.259,4.259,21.316,-.017,-.017,-.017,.073,.073,.073,4
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,01-JUL-2020,2.577,2.547,2.517,110.614,110.763,110.913,4.416,23.321,-.019,-.019,-.019,.091,.09,.09,1.7
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,01-JUL-2020,2.471,2.456,2.441,107.205,107.28,107.356,4.666,25.514,-.023,-.023,-.023,.111,.11,.11,5
MS110003,MYBMS1100036,MGS 3/2011 4.392% 15.04.2026,01-JUL-2020,2.668,2.648,2.628,109.188,109.3,109.413,5.097,30.479,-.01,-.01,-.01,.05,.05,.05,3.3
ML190001,MYBML1900018,MGS 1/2019 3.906% 15.07.2026,01-JUL-2020,2.694,2.679,2.664,106.714,106.8,106.886,5.3,33.014,-.02,-.02,-.02,.112,.112,.112,5
MX060002,MYBMX0600028,MGS 2/2006 4.709% 15.09.2026,01-JUL-2020,2.751,2.726,2.701,111.099,111.25,111.401,5.361,33.983,-.024,-.024,-.024,.143,.143,.143,2
MO160003,MYBMO1600034,MGS 3/2016 3.900% 30.11.2026,01-JUL-2020,2.71,2.695,2.68,106.959,107.05,107.142,5.669,37.248,-.02,-.02,-.02,.115,.115,.116,4.7
MS120002,MYBMS1200026,MGS 2/2012 3.892% 15.03.2027,01-JUL-2020,2.688,2.668,2.648,107.342,107.469,107.596,5.859,40.061,-.083,-.083,-.083,.527,.528,.528,3.3
MX070003,MYBMX0700034,MGS 3/2007 3.502% 31.05.2027,01-JUL-2020,2.677,2.662,2.647,105.172,105.27,105.366,6.119,43.136,-.089,-.089,-.089,.569,.57,.57,5
MO170004,MYBMO1700040,MGS 4/2017 3.899% 16.11.2027,01-JUL-2020,2.826,2.811,2.796,107.097,107.2,107.304,6.399,47.57,-.029,-.029,-.029,.199,.199,.2,4.7
