STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
ML120006,MYBML1200062,MGS 6/2012 3.492% 31.03.2020,03-FEB-2020,2.74,2.731,2.722,100.112,100.113,100.114,.155,.048,-.054,-.054,-.054,.003,.003,.003,5
MK130006,MYBMK1300062,MGS 6/2013 3.889% 31.07.2020,03-FEB-2020,2.815,2.806,2.797,100.521,100.525,100.529,.485,.471,-.008,-.008,-.008,-.005,-.005,-.005,4.7
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,03-FEB-2020,2.813,2.804,2.795,100.577,100.583,100.589,.678,.799,-.007,-.007,-.007,-.002,-.002,-.002,5
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,03-FEB-2020,2.806,2.797,2.788,100.641,100.65,100.659,.994,1.497,-.015,-.015,-.015,.01,.01,.01,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,03-FEB-2020,2.811,2.802,2.793,101.899,101.912,101.925,1.398,2.668,-.03,-.03,-.03,.032,.032,.032,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,03-FEB-2020,2.815,2.806,2.797,101.984,101.999,102.014,1.574,3.316,-.038,-.038,-.038,.054,.054,.054,4.3
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,03-FEB-2020,2.813,2.804,2.795,101.424,101.44,101.456,1.745,3.961,-.026,-.026,-.026,.04,.04,.04,4.3
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,03-FEB-2020,2.852,2.843,2.834,102.081,102.1,102.118,1.979,5.017,-.019,-.019,-.019,.03,.03,.03,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,03-FEB-2020,2.869,2.86,2.851,101.331,101.353,101.375,2.377,7.024,.005,.005,.005,-.015,-.016,-.016,4.3
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,03-FEB-2020,2.917,2.903,2.889,102.225,102.261,102.297,2.485,7.625,.005,.005,.005,-.019,-.019,-.019,3.7
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,03-FEB-2020,2.89,2.881,2.872,101.743,101.77,101.797,2.898,10.166,.005,.005,.005,-.02,-.02,-.02,4.3
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,03-FEB-2020,2.937,2.928,2.919,102.492,102.52,102.548,2.982,10.72,-.004,-.004,-.004,.006,.006,.007,4.3
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,03-FEB-2020,2.978,2.969,2.96,102.739,102.77,102.8,3.243,12.66,.07,.07,.07,-.244,-.244,-.245,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,03-FEB-2020,2.964,2.955,2.946,102.086,102.123,102.16,4.009,18.777,.006,.006,.006,-.026,-.027,-.027,5
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,03-FEB-2020,3.017,3.008,2.999,104.812,104.85,104.888,4.046,19.194,-.019,-.019,-.019,.075,.074,.074,4.3
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,03-FEB-2020,3.05,3.041,3.032,104.347,104.386,104.426,4.179,20.643,.006,.006,.006,-.031,-.032,-.032,4.3
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,03-FEB-2020,3.06,3.051,3.042,103.858,103.901,103.944,4.558,24.452,.006,.006,.006,-.034,-.034,-.034,4
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,03-FEB-2020,3.074,3.055,3.036,108.78,108.879,108.979,4.8,27.056,.006,.006,.006,-.044,-.045,-.045,2
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,03-FEB-2020,3.037,3.028,3.019,104.702,104.75,104.797,4.955,28.862,-.001,-.001,-.001,-.002,-.001,-.002,4.7
MS110003,MYBMS1100036,MGS 3/2011 4.392% 15.04.2026,03-FEB-2020,3.109,3.095,3.081,107.175,107.256,107.338,5.372,34.012,.007,.007,.007,-.052,-.053,-.053,3
ML190001,MYBML1900018,MGS 1/2019 3.906% 15.07.2026,03-FEB-2020,3.063,3.054,3.045,104.896,104.95,105.004,5.684,37.445,-.017,-.017,-.017,.093,.093,.093,5
MX060002,MYBMX0600028,MGS 2/2006 4.709% 15.09.2026,03-FEB-2020,3.083,3.064,3.045,109.658,109.777,109.896,5.625,37.625,.006,.006,.006,-.048,-.048,-.049,2
MO160003,MYBMO1600034,MGS 3/2016 3.900% 30.11.2026,03-FEB-2020,3.139,3.13,3.121,104.644,104.7,104.757,5.944,41.143,.002,.002,.002,-.016,-.017,-.016,4.3
MS120002,MYBMS1200026,MGS 2/2012 3.892% 15.03.2027,03-FEB-2020,3.144,3.13,3.116,104.734,104.825,104.916,6.12,43.971,.007,.007,.007,-.047,-.047,-.047,3
MX070003,MYBMX0700034,MGS 3/2007 3.502% 31.05.2027,03-FEB-2020,3.103,3.094,3.085,102.591,102.65,102.71,6.394,47.32,.007,.007,.007,-.049,-.05,-.049,4.3
MO170004,MYBMO1700040,MGS 4/2017 3.899% 16.11.2027,03-FEB-2020,3.137,3.128,3.119,105.219,105.283,105.347,6.661,51.841,.008,.008,.008,-.067,-.067,-.066,4.7
MS130005,MYBMS1300057,MGS 5/2013 3.733% 15.06.2028,03-FEB-2020,3.165,3.156,3.147,104.143,104.21,104.278,7.141,59.35,.005,.005,.005,-.04,-.04,-.039,4.7
MX080003,MYBMX0800032,MGS 3/2008 5.248% 15.09.2028,03-FEB-2020,3.28,3.261,3.242,114.662,114.815,114.969,6.926,58.072,.013,.013,.013,-.113,-.114,-.114,2.7
MO190002,MYBMO1900020,MGS 2/2019 3.885% 15.08.2029,03-FEB-2020,3.143,3.134,3.125,106.074,106.15,106.226,7.843,73.1,.017,.017,.017,-.149,-.15,-.15,5
MX100003,MYBMX1000038,MGS 3/2010 4.498% 15.04.2030,03-FEB-2020,3.252,3.243,3.234,110.735,110.817,110.9,8.17,80.156,.019,.019,.019,-.182,-.183,-.182,4.3
MX110004,MYBMX1100044,MGS 4/2011 4.232% 30.06.2031,03-FEB-2020,3.312,3.303,3.294,108.68,108.77,108.859,9.089,98.726,.023,.023,.023,-.23,-.23,-.23,4
MX120004,MYBMX1200042,MGS 4/2012 4.127% 15.04.2032,03-FEB-2020,3.355,3.336,3.317,107.669,107.867,108.065,9.544,110.111,.025,.025,.025,-.267,-.267,-.268,2.7
