STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MJ140004,MYBMJ1400047,MGS 4/2014 3.654% 31.10.2019,01-AUG-2019,3.05,3.047,3.044,100.141,100.142,100.143,.245,.12,-.015,-.015,-.015,.002,.002,.002,5
MO090002,MYBMO0900021,MGS 2/2009 4.378% 29.11.2019,01-AUG-2019,3.081,3.078,3.075,100.411,100.412,100.413,.323,.208,.025,.025,.025,-.012,-.012,-.012,5
ML120006,MYBML1200062,MGS 6/2012 3.492% 31.03.2020,01-AUG-2019,3.135,3.132,3.129,100.23,100.232,100.234,.645,.738,-.004,-.004,-.004,.002,.002,.002,5
MK130006,MYBMK1300062,MGS 6/2013 3.889% 31.07.2020,01-AUG-2019,3.142,3.139,3.136,100.727,100.73,100.733,.973,1.429,-.003,-.003,-.003,0,0,0,4.3
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,01-AUG-2019,3.182,3.179,3.176,100.556,100.56,100.564,1.16,1.937,-.001,-.001,-.001,0,0,0,4.7
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,01-AUG-2019,3.235,3.232,3.229,100.306,100.31,100.314,1.465,2.921,-.007,-.007,-.007,.011,.01,.01,4
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,01-AUG-2019,3.255,3.252,3.249,101.699,101.705,101.711,1.864,4.455,.012,.012,.012,-.025,-.025,-.025,4.7
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,01-AUG-2019,3.263,3.26,3.257,101.624,101.63,101.636,2.034,5.268,.006,.006,.006,-.014,-.015,-.015,4.3
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,01-AUG-2019,3.268,3.265,3.262,100.78,100.787,100.793,2.208,6.079,.007,.007,.007,-.018,-.017,-.018,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,01-AUG-2019,3.292,3.289,3.286,101.46,101.467,101.475,2.431,7.332,.008,.008,.008,-.023,-.023,-.023,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,01-AUG-2019,3.352,3.349,3.346,100.189,100.198,100.207,2.82,9.674,.01,.01,.01,-.028,-.028,-.027,4.3
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,01-AUG-2019,3.344,3.341,3.338,101.341,101.35,101.359,2.927,10.371,-.004,-.004,-.004,.012,.012,.012,4
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,01-AUG-2019,3.418,3.415,3.412,100.208,100.218,100.228,3.334,13.269,.01,.01,.01,-.032,-.032,-.032,4
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,01-AUG-2019,3.41,3.407,3.404,101.199,101.21,101.22,3.414,13.874,.009,.009,.009,-.033,-.033,-.033,5
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,01-AUG-2019,3.426,3.423,3.42,101.399,101.41,101.421,3.663,16.003,-.003,-.003,-.003,.01,.01,.01,4.7
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,01-AUG-2019,3.431,3.428,3.425,100.208,100.221,100.234,4.425,22.765,.008,.008,.008,-.032,-.033,-.033,4.3
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,01-AUG-2019,3.471,3.468,3.465,103.206,103.22,103.234,4.449,23.127,.002,.002,.002,-.01,-.01,-.01,4.7
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,01-AUG-2019,3.494,3.491,3.488,102.646,102.66,102.674,4.577,24.69,.008,.008,.008,-.04,-.04,-.04,5
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,01-AUG-2019,3.538,3.535,3.532,101.735,101.75,101.765,4.949,28.786,.008,.008,.008,-.043,-.043,-.043,5
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,01-AUG-2019,3.576,3.563,3.55,106.707,106.779,106.851,5.169,31.399,.008,.008,.008,-.049,-.049,-.049,2.3
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,01-AUG-2019,3.554,3.551,3.548,102.184,102.2,102.217,5.332,33.434,.008,.008,.008,-.046,-.047,-.046,4.7
MS110003,MYBMS1100036,MGS 3/2011 4.392% 15.04.2026,01-AUG-2019,3.593,3.585,3.577,104.718,104.767,104.815,5.73,38.773,.008,.008,.008,-.052,-.051,-.052,3.7
ML190001,MYBML1900018,MGS 1/2019 3.906% 15.07.2026,01-AUG-2019,3.549,3.546,3.543,102.182,102.2,102.219,6.045,42.439,.008,.008,.008,-.05,-.05,-.05,5
MX060002,MYBMX0600028,MGS 2/2006 4.709% 15.09.2026,01-AUG-2019,3.659,3.646,3.633,106.527,106.611,106.695,5.962,42.41,.008,.008,.008,-.052,-.052,-.052,2
