STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MJ140004,MYBMJ1400047,MGS 4/2014 3.654% 31.10.2019,01-OCT-2019,3.06,3.055,3.05,100.045,100.045,100.045,.081,.013,-.004,-.005,-.006,-.001,-.001,-.001,5
MO090002,MYBMO0900021,MGS 2/2009 4.378% 29.11.2019,01-OCT-2019,3.067,3.062,3.057,100.202,100.203,100.204,.16,.051,-.006,-.007,-.008,-.002,-.002,-.002,5
ML120006,MYBML1200062,MGS 6/2012 3.492% 31.03.2020,01-OCT-2019,3.088,3.083,3.078,100.198,100.2,100.202,.49,.48,-.002,-.003,-.004,0,0,0,5
MK130006,MYBMK1300062,MGS 6/2013 3.889% 31.07.2020,01-OCT-2019,3.109,3.104,3.099,100.632,100.636,100.64,.809,1.058,-.022,-.023,-.024,.016,.016,.017,4.3
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,01-OCT-2019,3.13,3.125,3.12,100.535,100.54,100.545,.996,1.503,-.001,-.002,-.003,-.001,0,.001,5
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,01-OCT-2019,3.118,3.113,3.108,100.428,100.435,100.441,1.326,2.432,-.012,-.013,-.014,.016,.017,.018,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,01-OCT-2019,3.151,3.146,3.141,101.738,101.746,101.755,1.702,3.797,.052,.051,.05,-.093,-.092,-.09,4.7
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,01-OCT-2019,3.127,3.122,3.117,101.77,101.78,101.789,1.909,4.648,-.001,-.002,-.003,-.001,.001,.002,4.3
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,01-OCT-2019,3.132,3.127,3.122,101.01,101.02,101.03,2.045,5.309,.005,.004,.003,-.012,-.01,-.008,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,01-OCT-2019,3.111,3.106,3.101,101.798,101.81,101.821,2.314,6.62,.004,.003,.002,-.012,-.01,-.008,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,01-OCT-2019,3.111,3.106,3.101,100.836,100.85,100.864,2.708,8.869,.012,.011,.01,-.033,-.03,-.027,4.3
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,01-OCT-2019,3.149,3.144,3.139,101.835,101.849,101.864,2.818,9.553,.007,.006,.005,-.022,-.019,-.016,4
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,01-OCT-2019,3.229,3.224,3.219,100.812,100.829,100.845,3.23,12.363,.007,.006,.005,-.025,-.021,-.018,4
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,01-OCT-2019,3.228,3.223,3.218,101.761,101.778,101.794,3.254,12.729,.007,.006,.005,-.026,-.022,-.02,5
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,01-OCT-2019,3.249,3.244,3.239,101.988,102.006,102.025,3.571,15.059,.007,.006,.005,-.027,-.024,-.02,4.7
