STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,01-OCT-2020,1.914,1.9,1.886,100.065,100.066,100.067,.038,.003,.006,.006,.006,-.005,-.005,-.005,5
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,01-OCT-2020,1.609,1.595,1.581,100.675,100.68,100.686,.37,.274,.001,.001,.001,-.006,-.006,-.005,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,01-OCT-2020,1.752,1.738,1.724,101.874,101.885,101.896,.771,.982,-.01,-.01,-.01,.001,.001,.001,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,01-OCT-2020,1.77,1.756,1.742,102.242,102.256,102.27,.979,1.448,0,0,0,-.006,-.006,-.006,4.7
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,01-OCT-2020,1.758,1.744,1.73,102.133,102.149,102.165,1.127,1.85,-.019,-.019,-.019,.017,.017,.017,4.3
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,01-OCT-2020,1.838,1.824,1.81,102.895,102.915,102.935,1.401,2.68,-.005,-.005,-.005,.002,.002,.001,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,01-OCT-2020,1.891,1.877,1.863,102.794,102.82,102.846,1.806,4.211,.006,.006,.006,-.015,-.015,-.015,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,01-OCT-2020,1.877,1.863,1.849,103.742,103.77,103.798,1.925,4.72,-.008,-.008,-.008,.01,.01,.01,4.7
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,01-OCT-2020,2.018,2.004,1.99,103.486,103.52,103.554,2.35,6.799,-.028,-.028,-.028,.066,.065,.065,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,01-OCT-2020,2.099,2.085,2.071,104.099,104.134,104.17,2.396,7.145,-.03,-.03,-.03,.072,.072,.072,4.7
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,01-OCT-2020,2.104,2.09,2.076,104.71,104.75,104.79,2.717,8.947,-.044,-.044,-.044,.122,.122,.122,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,01-OCT-2020,2.15,2.136,2.122,104.699,104.75,104.801,3.441,14.047,-.084,-.084,-.084,.3,.3,.3,5
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,01-OCT-2020,2.217,2.203,2.189,107.097,107.15,107.203,3.486,14.459,-.054,-.054,-.054,.2,.2,.201,4.3
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,01-OCT-2020,2.227,2.213,2.199,106.97,107.025,107.081,3.699,16.083,-.045,-.045,-.045,.175,.175,.175,4.3
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,01-OCT-2020,2.287,2.268,2.249,106.717,106.8,106.883,4.092,19.547,-.074,-.074,-.074,.319,.319,.319,3.7
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,01-OCT-2020,2.307,2.278,2.249,111.405,111.544,111.684,4.273,21.616,-.082,-.082,-.082,.388,.388,.389,1.7
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,01-OCT-2020,2.254,2.24,2.226,107.932,108,108.069,4.508,23.637,-.083,-.083,-.083,.4,.4,.401,5
