STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VU130337,MYBVU1303371,MALAKOFF POW IMTN 6.150% 17.12.2030,04-MAY-2020,4.023,3.919,3.815,118.23,119.223,120.227,7.897,78.191,-.033,-.028,-.023,.299,.253,.207,1.3
VV130336,MYBVV1303361,MALAKOFF POW IMTN 6.250% 17.12.2031,04-MAY-2020,4.091,3.982,3.873,119.802,120.928,122.066,8.422,89.892,-.029,-.024,-.019,.283,.234,.183,0
VG170167,MYBVG1701672,IMTIAZ II IMTN 4.460% 29.05.2020,04-MAY-2020,2.817,2.737,2.657,100.111,100.116,100.122,.07,.01,-.008,-.008,-.008,-.017,-.018,-.019,2
VG170322,MYBVG1703223,IMTIAZ II IMTN 4.450% 16.10.2020,04-MAY-2020,2.963,2.883,2.803,100.658,100.694,100.73,.445,.396,-.022,-.022,-.022,-.007,-.008,-.008,2
VK140367,MYBVK1403677,IMTIAZ II IMTN 4.650% 24.11.2021,04-MAY-2020,3.127,3.047,2.967,102.294,102.417,102.539,1.468,2.948,-.022,-.022,-.022,.018,.018,.016,2
VI170168,MYBVI1701686,IMTIAZ II IMTN 4.580% 27.05.2022,04-MAY-2020,3.202,3.117,3.032,102.73,102.901,103.073,1.927,4.808,-.021,-.021,-.021,.029,.028,.027,1.7
VI170323,MYBVI1703237,IMTIAZ II IMTN 4.570% 17.10.2022,04-MAY-2020,3.251,3.171,3.091,103.085,103.276,103.467,2.31,6.617,-.021,-.021,-.021,.037,.036,.035,2
UN170035,MYBUN1700359,AMBANK MTN 3652D 15.3.2027 (SUB-NOTES),04-MAY-2020,3.326,3.227,3.128,103.351,103.533,103.714,1.76,4.041,-.026,-.021,-.016,.028,.019,.008,2.7
UN170161,MYBUN1701613,AMBANK MTN 3651D 15.10.2027 (SUB-NOTES),04-MAY-2020,3.432,3.323,3.214,103.424,103.684,103.945,2.3,6.577,-.027,-.022,-.017,.05,.037,.024,0
UN180026,MYBUN1800266,AMBANK MTN 3652D 23.2.2028,04-MAY-2020,3.475,3.376,3.277,104.649,104.92,105.191,2.584,8.235,-.026,-.021,-.016,.054,.04,.025,2.3
UN180034,MYBUN1800340,AMBANK MTN 3653D 14.3.2028,04-MAY-2020,3.496,3.387,3.278,104.674,104.977,105.281,2.635,8.528,-.027,-.022,-.017,.058,.043,.028,0
UN180216,MYBUN1802163,AMBANK MTN 3653D 15.11.2028,04-MAY-2020,3.618,3.514,3.41,104.477,104.829,105.182,3.163,12.229,-.025,-.02,-.015,.072,.054,.036,1.7
VK130386,MYBVK1303869,BGSM MGMT IMTN 5.250% 24.12.2020 - Issue No 8,04-MAY-2020,3.162,3.063,2.964,101.311,101.374,101.438,.619,.694,-.026,-.021,-.016,-.005,-.01,-.013,2.3
VG170404,MYBVG1704049,BGSM MGMT IMTN 4.485% 28.12.2020 - Issue No 14,04-MAY-2020,3.172,3.063,2.954,100.834,100.904,100.974,.629,.71,-.026,-.021,-.016,.004,-.001,-.006,0
VH170239,MYBVH1702397,BGSM MGMT IMTN 4.670% 27.08.2021 - Issue No 12,04-MAY-2020,3.243,3.144,3.045,101.82,101.949,102.077,1.263,2.243,-.028,-.023,-.018,.021,.014,.006,2
VG180272,MYBVG1802728,BGSM MGMT IMTN 4.580% 28.09.2021 - Issue No 15,04-MAY-2020,3.261,3.157,3.053,101.786,101.929,102.072,1.344,2.495,-.028,-.023,-.018,.025,.017,.008,1.7
VM130384,MYBVM1303840,BGSM MGMT IMTN 7.100% 28.12.2022 - Issue No 6,04-MAY-2020,3.378,3.279,3.18,109.351,109.614,109.879,2.379,7.191,-.031,-.026,-.021,.046,.031,.018,2
VI180273,MYBVI1802732,BGSM MGMT IMTN 4.680% 28.09.2023 - Issue No 16,04-MAY-2020,3.403,3.309,3.215,104.063,104.37,104.678,3.122,11.708,-.031,-.026,-.021,.089,.072,.055,3.7
VN130387,MYBVN1303871,BGSM MGMT IMTN 5.600% 27.12.2023 - Issue No 9,04-MAY-2020,3.425,3.326,3.227,107.392,107.744,108.098,3.248,12.876,-.035,-.03,-.025,.104,.086,.067,2.3
VN140164,MYBVN1401642,BGSM MGMT IMTN 5.450% 28.06.2024 - Issue No 10,04-MAY-2020,3.454,3.36,3.266,107.65,108.027,108.406,3.661,16.207,-.035,-.03,-.025,.122,.101,.08,3
VL170240,MYBVL1702407,BGSM MGMT IMTN 4.920% 29.08.2025 - Issue No 13,04-MAY-2020,3.501,3.402,3.303,106.831,107.328,107.828,4.654,25.636,-.042,-.037,-.032,.198,.173,.147,2.7
VN160032,MYBVN1600326,BGSM MGMT IMTN 5.350% 09.03.2026 - Issue No 11,04-MAY-2020,3.527,3.428,3.329,109.551,110.1,110.652,5.017,29.898,-.049,-.044,-.039,.255,.228,.2,2.3
VK190282,MYBVK1902827,BGSM MGMT IMTN 4.050% 04.12.2026 - Issue No 17,04-MAY-2020,3.543,3.449,3.355,102.952,103.51,104.073,5.669,37.898,-.054,-.049,-.044,.316,.287,.259,3.3
VL190281,MYBVL1902817,BGSM MGMT IMTN 4.130% 03.12.2027 - Issue No 18,04-MAY-2020,3.643,3.549,3.455,103.198,103.83,104.466,6.387,48.314,-.052,-.047,-.042,.344,.312,.28,3.3
PO140001,MYBPO1400016,TNB WE 5.060% 30.07.2024 - Tranche 1,04-MAY-2020,3.224,3.109,2.994,107.216,107.689,108.164,3.781,17.111,-.02,-.02,-.02,.064,.064,.063,0
PO140002,MYBPO1400024,TNB WE 5.100% 30.01.2025 - Tranche 2,04-MAY-2020,3.252,3.147,3.042,108.052,108.532,109.015,4.176,20.804,-.02,-.02,-.02,.074,.073,.073,2
PP140003,MYBPP1400039,TNB WE 5.140% 30.07.2025 - Tranche 3,04-MAY-2020,3.294,3.179,3.064,108.812,109.391,109.974,4.563,24.786,-.022,-.022,-.022,.093,.093,.093,0
PP140004,MYBPP1400047,TNB WE 5.180% 30.01.2026 - Tranche 4,04-MAY-2020,3.313,3.208,3.103,109.681,110.258,110.838,4.939,29.04,-.023,-.023,-.023,.109,.109,.108,2.3
PQ140005,MYBPQ1400052,TNB WE 5.210% 30.07.2026 - Tranche 5,04-MAY-2020,3.355,3.245,3.135,110.36,111.014,111.672,5.307,33.552,-.025,-.025,-.025,.132,.132,.132,1.7
PQ140006,MYBPQ1400060,TNB WE 5.230% 29.01.2027 - Tranche 6,04-MAY-2020,3.401,3.286,3.171,110.924,111.658,112.397,5.664,38.282,-.029,-.029,-.029,.168,.169,.169,0
PR140007,MYBPR1400076,TNB WE 5.260% 30.07.2027 - Tranche 7,04-MAY-2020,3.43,3.315,3.2,111.639,112.423,113.213,6.017,43.299,-.032,-.032,-.032,.202,.203,.203,0
PR140008,MYBPR1400084,TNB WE 5.290% 28.01.2028 - Tranche 8,04-MAY-2020,3.455,3.34,3.225,112.356,113.189,114.031,6.354,48.428,-.034,-.034,-.034,.23,.231,.233,0
PS140009,MYBPS1400090,TNB WE 5.320% 28.07.2028 - Tranche 9,04-MAY-2020,3.479,3.364,3.249,113.078,113.961,114.852,6.688,53.824,-.037,-.037,-.037,.268,.27,.271,0
PS140010,MYBPS1400108,TNB WE 5.350% 30.01.2029 - Tranche 10,04-MAY-2020,3.5,3.39,3.28,113.821,114.713,115.613,7.019,59.481,-.039,-.039,-.039,.3,.302,.303,1.7
PT140011,MYBPT1400114,TNB WE 5.370% 30.07.2029 - Tranche 11,04-MAY-2020,3.542,3.427,3.312,114.292,115.271,116.261,7.337,65.244,-.039,-.039,-.039,.316,.318,.321,0
PT140012,MYBPT1400122,TNB WE 5.440% 30.01.2030 - Tranche 12,04-MAY-2020,3.571,3.466,3.361,115.255,116.194,117.141,7.636,71.02,-.04,-.04,-.04,.341,.344,.346,2
PU140013,MYBPU1400138,TNB WE 5.460% 30.07.2030 - Tranche 13,04-MAY-2020,3.616,3.501,3.386,115.658,116.73,117.815,7.938,77.077,-.04,-.04,-.04,.357,.359,.363,0
PU140014,MYBPU1400146,TNB WE 5.480% 30.01.2031 - Tranche 14,04-MAY-2020,3.645,3.53,3.415,116.181,117.299,118.43,8.233,83.282,-.038,-.038,-.038,.353,.357,.36,0
PV140015,MYBPV1400151,TNB WE 5.500% 30.07.2031 - Tranche 15,04-MAY-2020,3.676,3.561,3.446,116.664,117.826,119.001,8.521,89.609,-.035,-.035,-.035,.338,.342,.344,0
PV140016,MYBPV1400169,TNB WE 5.520% 30.01.2032 - Tranche 16,04-MAY-2020,3.704,3.589,3.474,117.156,118.361,119.581,8.802,96.059,-.033,-.033,-.033,.33,.334,.337,0
PW140017,MYBPW1400175,TNB WE 5.540% 30.07.2032 - Tranche 17,04-MAY-2020,3.747,3.637,3.527,117.467,118.658,119.864,9.072,102.549,-.029,-.029,-.029,.299,.302,.305,1.3
PW140018,MYBPW1400183,TNB WE 5.760% 28.01.2033 - Tranche 18,04-MAY-2020,3.787,3.677,3.567,119.781,121.023,122.281,9.272,108.058,-.026,-.026,-.026,.278,.281,.284,1.7
PX140019,MYBPX1400199,TNB WE 5.780% 29.07.2033 - Tranche 19,04-MAY-2020,3.813,3.703,3.593,120.29,121.572,122.872,9.532,114.76,-.022,-.022,-.022,.241,.244,.247,1.7
PX140020,MYBPX1400207,TNB WE 5.800% 30.01.2034 - Tranche 20,04-MAY-2020,3.83,3.72,3.61,120.888,122.211,123.552,9.789,121.582,-.019,-.019,-.019,.214,.217,.218,1.7
VN150344,MYBVN1503447,AISL IMTN 5.35% 19.12.2025,04-MAY-2020,3.151,3.047,2.943,101.36,101.425,101.491,.609,.677,-.026,-.021,-.016,-.006,-.011,-.015,1.7
VN160463,MYBVN1604633,AISL IMTN 5.500% 30.12.2026,04-MAY-2020,3.312,3.203,3.094,103.492,103.671,103.85,1.554,3.261,-.027,-.022,-.017,.022,.013,.004,0
VN170115,MYBVN1701157,AISL IMTN 5.200% 15.03.2027,04-MAY-2020,3.326,3.227,3.128,103.351,103.533,103.714,1.76,4.041,-.026,-.021,-.016,.028,.019,.008,2.3
VN180079,MYBVN1800793,AISL IMTN 5.230% 23.02.2028,04-MAY-2020,3.48,3.376,3.272,104.635,104.92,105.205,2.584,8.235,-.026,-.021,-.016,.053,.04,.025,1.7
VN180280,MYBVN1802807,AISL IMTN 4.880% 18.10.2028,04-MAY-2020,3.498,3.404,3.31,104.461,104.773,105.086,3.169,12.039,-.025,-.02,-.015,.07,.052,.035,3
VN140037,MYBVN1400370,PRASARANA IMTN 4.67% 12.03.2024 - Tranche 2,04-MAY-2020,2.873,2.769,2.665,106.51,106.902,107.296,3.513,14.711,-.037,-.036,-.035,.122,.118,.113,2.3
VN190052,MYBVN1900528,PRASARANA IMTN 4.200% 12.03.2029 - Tranche 3,04-MAY-2020,3.2,3.091,2.982,107.655,108.53,109.414,7.396,64.363,-.007,-.006,-.005,.048,.039,.03,1.7
VP190053,MYBVP1900531,PRASARANA IMTN 4.380% 12.03.2031 - Tranche 4,04-MAY-2020,3.307,3.203,3.099,109.716,110.716,111.728,8.689,90.253,-.015,-.014,-.013,.136,.126,.117,2
VS190054,MYBVS1900543,PRASARANA IMTN 4.530% 10.03.2034 - Tranche 5,04-MAY-2020,3.462,3.358,3.254,111.667,112.891,114.132,10.431,133.573,-.003,-.002,-.001,.027,.015,.003,2.3
VI190119,MYBVI1901195,BUMITAMA IMTN 4.100% 22.07.2024,04-MAY-2020,3.578,3.479,3.38,102.022,102.412,102.804,3.812,17.231,-.025,-.02,-.015,.093,.073,.053,2.3
VK190120,MYBVK1901209,BUMITAMA IMTN 4.200% 22.07.2026,04-MAY-2020,3.653,3.554,3.455,103.013,103.571,104.132,5.394,34.211,-.031,-.026,-.021,.169,.141,.113,2.7
VK140089,MYBVK1400897,PTPTN IMTN 4.450% 26.03.2021,04-MAY-2020,2.694,2.585,2.476,101.537,101.634,101.731,.871,1.194,-.064,-.063,-.062,.039,.037,.035,1.7
VK140208,MYBVK1402083,PTPTN IMTN 4.190% 27.08.2021,04-MAY-2020,2.731,2.617,2.503,101.871,102.019,102.168,1.27,2.262,-.052,-.051,-.05,.053,.05,.048,0
VN140090,MYBVN1400909,PTPTN IMTN 4.670% 28.03.2024,04-MAY-2020,2.855,2.751,2.647,106.649,107.046,107.444,3.557,15.041,-.038,-.037,-.036,.127,.123,.118,2.7
VN140396,MYBVN1403960,PTPTN IMTN 4.550% 20.12.2024,04-MAY-2020,2.91,2.806,2.702,107.049,107.516,107.985,4.119,20.205,-.057,-.056,-.055,.24,.236,.231,2.3
VP140207,MYBVP1402074,PTPTN IMTN 4.530% 27.08.2026,04-MAY-2020,3.038,2.939,2.84,108.513,109.107,109.706,5.481,35.285,-.034,-.033,-.032,.191,.184,.179,3
VS150025,MYBVS1500251,PTPTN IMTN 4.630% 12.02.2030,04-MAY-2020,3.303,3.199,3.095,111.005,111.927,112.858,7.89,74.492,-.002,-.001,0,.008,-.002,-.013,2.7
VX140397,MYBVX1403977,PTPTN IMTN 4.880% 22.12.2034,04-MAY-2020,3.567,3.463,3.359,114.863,116.155,117.466,10.607,141.442,-.002,-.001,0,.016,.003,-.01,2
PN160001,MYBPN1600013,MAYBANKISLM 4.650% 13.02.2026,04-MAY-2020,3.086,2.97,2.854,101.197,101.288,101.378,.761,.959,-.016,-.021,-.026,-.004,-.001,.001,0
PN190003,MYBPN1900033,MAYBANKISLM 4.500% 05.04.2029,04-MAY-2020,3.371,3.255,3.139,104.111,104.545,104.982,3.575,15.164,-.015,-.02,-.025,.045,.063,.081,0
VK140095,MYBVK1400954,IJM IMTN 4.850% 09.04.2021,04-MAY-2020,3.239,3.145,3.051,101.464,101.551,101.638,.906,1.271,-.028,-.023,-.018,.008,.003,-.002,3
VL140150,MYBVL1401505,IJM IMTN 4.830% 10.06.2022,04-MAY-2020,3.448,3.354,3.26,102.773,102.966,103.159,1.954,4.933,-.026,-.021,-.016,.039,.029,.018,3
VL150127,MYBVL1501270,IJM IMTN 4.640% 02.06.2023,04-MAY-2020,3.586,3.492,3.398,103.043,103.32,103.598,2.805,9.67,-.026,-.021,-.016,.067,.051,.035,3.7
VL160317,MYBVL1603175,IJM IMTN 4.600% 17.10.2024,04-MAY-2020,3.706,3.607,3.508,103.637,104.05,104.465,4.006,18.919,-.025,-.02,-.015,.095,.074,.053,2.7
VN150062,MYBVN1500625,IJM IMTN 4.900% 21.04.2025,04-MAY-2020,3.736,3.632,3.528,105.229,105.711,106.197,4.396,22.768,-.025,-.02,-.015,.105,.081,.058,1.7
VN180242,MYBVN1802427,IJM IMTN 5.050% 18.08.2028,04-MAY-2020,4.001,3.902,3.803,107.335,108.06,108.792,6.744,54.542,-.038,-.033,-.028,.269,.233,.198,2.7
