STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MK130006,MYBMK1300062,MGS 6/2013 3.889% 31.07.2020,01-APR-2020,2.43,2.418,2.406,100.476,100.48,100.484,.33,.217,-.023,-.024,-.025,.004,.004,.004,4.7
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,01-APR-2020,2.401,2.389,2.377,100.668,100.674,100.681,.523,.536,-.051,-.052,-.053,.024,.024,.025,5
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,01-APR-2020,2.465,2.453,2.441,100.837,100.847,100.857,.855,1.157,-.049,-.05,-.051,.041,.041,.041,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,01-APR-2020,2.488,2.476,2.464,102.104,102.119,102.134,1.243,2.183,-.057,-.058,-.059,.068,.069,.07,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,01-APR-2020,2.463,2.451,2.439,102.312,102.33,102.348,1.448,2.834,-.126,-.127,-.128,.183,.185,.187,4.7
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,01-APR-2020,2.692,2.68,2.668,101.502,101.522,101.541,1.589,3.364,-.068,-.069,-.07,.107,.109,.11,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,01-APR-2020,2.722,2.71,2.698,102.177,102.2,102.223,1.859,4.435,.044,.043,.042,-.086,-.084,-.082,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,01-APR-2020,2.596,2.584,2.572,101.878,101.905,101.933,2.263,6.35,-.095,-.096,-.097,.217,.218,.221,4.3
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,01-APR-2020,2.645,2.633,2.621,102.76,102.79,102.819,2.376,6.942,-.128,-.129,-.13,.307,.311,.313,4.3
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,01-APR-2020,2.747,2.735,2.723,102.066,102.1,102.134,2.792,9.378,-.108,-.109,-.11,.308,.31,.313,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,01-APR-2020,2.873,2.861,2.849,102.565,102.6,102.636,2.827,9.744,-.105,-.106,-.107,.307,.31,.313,4.7
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,01-APR-2020,2.874,2.862,2.85,102.961,103,103.039,3.148,11.821,-.054,-.055,-.056,.175,.178,.181,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,01-APR-2020,2.98,2.968,2.956,101.952,102,102.048,3.853,17.473,-.087,-.088,-.089,.346,.35,.355,5
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,01-APR-2020,3.028,3.016,3.004,104.601,104.65,104.699,3.888,17.87,-.072,-.073,-.074,.291,.295,.299,4.3
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,01-APR-2020,3.041,3.029,3.017,104.249,104.3,104.351,4.102,19.664,-.128,-.129,-.13,.543,.547,.551,4.3
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,01-APR-2020,3.179,3.167,3.155,103.194,103.25,103.306,4.481,23.368,-.026,-.022,-.018,.118,.1,.082,4
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,01-APR-2020,3.182,3.16,3.138,107.994,108.105,108.216,4.639,25.459,-.081,-.082,-.083,.408,.413,.418,2
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,01-APR-2020,3.084,3.072,3.06,104.339,104.4,104.462,4.885,27.729,-.078,-.079,-.08,.394,.4,.405,4.7
MS110003,MYBMS1100036,MGS 3/2011 4.392% 15.04.2026,01-APR-2020,3.287,3.27,3.253,106.004,106.1,106.196,5.207,32.194,-.078,-.079,-.08,.435,.441,.448,3.3
ML190001,MYBML1900018,MGS 1/2019 3.906% 15.07.2026,01-APR-2020,3.245,3.233,3.221,103.731,103.8,103.869,5.518,35.511,-.198,-.199,-.2,1.136,1.142,1.149,5
MX060002,MYBMX0600028,MGS 2/2006 4.709% 15.09.2026,01-APR-2020,3.237,3.215,3.193,108.509,108.642,108.776,5.579,36.494,-.041,-.042,-.043,.242,.248,.255,2
MO160003,MYBMO1600034,MGS 3/2016 3.900% 30.11.2026,01-APR-2020,3.224,3.212,3.2,104.027,104.1,104.173,5.783,39.173,-.022,-.023,-.024,.13,.136,.142,4.7
MS120002,MYBMS1200026,MGS 2/2012 3.892% 15.03.2027,01-APR-2020,3.335,3.318,3.301,103.433,103.54,103.647,6.065,42.657,-.019,-.02,-.021,.123,.13,.136,3
MX070003,MYBMX0700034,MGS 3/2007 3.502% 31.05.2027,01-APR-2020,3.23,3.218,3.206,101.723,101.8,101.878,6.227,45.141,-.015,-.016,-.017,.093,.1,.107,5
MO170004,MYBMO1700040,MGS 4/2017 3.899% 16.11.2027,01-APR-2020,3.262,3.25,3.238,104.267,104.35,104.432,6.495,49.59,.079,.078,.077,-.547,-.54,-.534,4.7
MS130005,MYBMS1300057,MGS 5/2013 3.733% 15.06.2028,01-APR-2020,3.456,3.444,3.432,101.963,102.049,102.136,6.961,56.764,-.013,-.014,-.015,.095,.102,.11,4.7
MX080003,MYBMX0800032,MGS 3/2008 5.248% 15.09.2028,01-APR-2020,3.678,3.656,3.634,111.319,111.488,111.658,6.889,56.667,-.015,-.016,-.017,.113,.121,.129,2.7
MO190002,MYBMO1900020,MGS 2/2019 3.885% 15.08.2029,01-APR-2020,3.384,3.372,3.36,103.993,104.09,104.189,7.794,71.379,-.01,-.011,-.012,.083,.09,.099,5
MX100003,MYBMX1000038,MGS 3/2010 4.498% 15.04.2030,01-APR-2020,3.67,3.658,3.646,106.896,107,107.105,7.958,76.76,-.033,-.034,-.035,.281,.29,.3,4
MX110004,MYBMX1100044,MGS 4/2011 4.232% 30.06.2031,01-APR-2020,3.782,3.77,3.758,104.09,104.202,104.314,8.858,94.645,-.007,-.008,-.009,.064,.073,.083,4
MX120004,MYBMX1200042,MGS 4/2012 4.127% 15.04.2032,01-APR-2020,3.591,3.569,3.547,105.204,105.425,105.646,9.344,106.352,-.005,-.006,-.007,.048,.059,.069,2.7
MX130004,MYBMX1300040,MGS 4/2013 3.844% 15.04.2033,01-APR-2020,3.664,3.652,3.64,101.855,101.98,102.105,10.045,123.084,-.031,-.032,-.033,.32,.331,.342,4.3
MT180003,MYBMT1800039,MGS 3/2018 4.642% 07.11.2033,01-APR-2020,3.805,3.793,3.781,108.816,108.95,109.083,10.033,125.645,-.013,-.014,-.015,.138,.15,.161,4.7
MS190004,MYBMS1900047,MGS 4/2019 3.828% 05.07.2034,01-APR-2020,3.632,3.62,3.608,102.166,102.3,102.435,10.806,142.831,.001,0,-.001,-.011,0,.011,5
MY150004,MYBMY1500043,MGS 4/2015 4.254% 31.05.2035,01-APR-2020,3.718,3.701,3.684,106.165,106.368,106.572,11.107,153.945,-.014,-.015,-.016,.162,.174,.186,3.7
