STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MK130006,MYBMK1300062,MGS 6/2013 3.889% 31.07.2020,01-JUN-2020,2.073,2.058,2.043,100.294,100.296,100.299,.164,.054,-.001,-.001,-.001,-.014,-.015,-.015,4.3
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,01-JUN-2020,2.085,2.07,2.055,100.577,100.582,100.588,.369,.272,-.001,-.001,-.001,-.012,-.013,-.013,5
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,01-JUN-2020,2.079,2.064,2.049,100.948,100.958,100.969,.691,.823,-.002,-.002,-.002,-.009,-.01,-.01,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,01-JUN-2020,2.08,2.065,2.05,102.291,102.308,102.325,1.08,1.724,.011,.011,.011,-.028,-.028,-.028,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,01-JUN-2020,2.084,2.069,2.054,102.559,102.579,102.598,1.286,2.314,-.001,-.001,-.001,-.014,-.014,-.015,4.7
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,01-JUN-2020,2.1,2.085,2.07,102.225,102.247,102.269,1.453,2.852,-.012,-.012,-.012,-.004,-.004,-.004,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,01-JUN-2020,2.18,2.165,2.15,102.943,102.97,102.996,1.701,3.794,0,0,0,-.014,-.014,-.014,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,01-JUN-2020,2.242,2.227,2.212,102.515,102.548,102.58,2.101,5.568,.002,.002,.002,-.014,-.013,-.014,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,01-JUN-2020,2.25,2.235,2.22,103.487,103.522,103.556,2.216,6.132,.003,.003,.003,-.018,-.018,-.019,4.3
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,01-JUN-2020,2.285,2.27,2.255,103.208,103.25,103.291,2.635,8.453,.004,.004,.004,-.02,-.02,-.02,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,01-JUN-2020,2.338,2.323,2.308,103.935,103.978,104.021,2.722,8.974,-.007,-.007,-.007,.008,.008,.008,4.7
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,01-JUN-2020,2.356,2.341,2.326,104.438,104.485,104.532,2.992,10.791,-.001,-.001,-.001,-.01,-.01,-.011,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,01-JUN-2020,2.431,2.416,2.401,104.001,104.06,104.119,3.703,16.263,-.017,-.017,-.017,.06,.06,.06,5
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,01-JUN-2020,2.476,2.461,2.446,106.639,106.7,106.761,3.738,16.648,-.004,-.004,-.004,.004,.004,.004,4.3
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,01-JUN-2020,2.47,2.455,2.44,106.486,106.55,106.613,3.954,18.394,-.014,-.014,-.014,.05,.05,.049,4.3
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,01-JUN-2020,2.514,2.499,2.484,106.13,106.2,106.269,4.339,22.043,-.02,-.02,-.02,.086,.086,.085,4
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,01-JUN-2020,2.583,2.558,2.533,110.746,110.873,110.999,4.497,24.082,-.014,-.014,-.014,.055,.055,.054,2
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,01-JUN-2020,2.478,2.463,2.448,107.273,107.35,107.427,4.746,26.31,-.014,-.014,-.014,.06,.06,.06,5
MS110003,MYBMS1100036,MGS 3/2011 4.392% 15.04.2026,01-JUN-2020,2.663,2.643,2.623,109.336,109.45,109.564,5.178,31.352,.032,.032,.032,-.2,-.2,-.2,3.3
ML190001,MYBML1900018,MGS 1/2019 3.906% 15.07.2026,01-JUN-2020,2.636,2.621,2.606,107.133,107.221,107.309,5.384,33.952,-.022,-.022,-.022,.121,.121,.121,5
MX060002,MYBMX0600028,MGS 2/2006 4.709% 15.09.2026,01-JUN-2020,2.708,2.678,2.648,111.494,111.678,111.862,5.444,34.918,-.002,-.002,-.002,.001,.001,0,1.7
MO160003,MYBMO1600034,MGS 3/2016 3.900% 30.11.2026,01-JUN-2020,2.657,2.642,2.627,107.367,107.46,107.553,5.752,38.237,-.025,-.025,-.025,.129,.13,.13,4.3
MS120002,MYBMS1200026,MGS 2/2012 3.892% 15.03.2027,01-JUN-2020,2.686,2.666,2.646,107.432,107.561,107.69,5.939,41.051,-.001,.004,.009,-.007,-.039,-.072,3
MX070003,MYBMX0700034,MGS 3/2007 3.502% 31.05.2027,01-JUN-2020,2.636,2.621,2.606,105.502,105.6,105.699,6.203,44.21,.007,.007,.007,-.05,-.05,-.05,5
MO170004,MYBMO1700040,MGS 4/2017 3.899% 16.11.2027,01-JUN-2020,2.733,2.718,2.703,107.815,107.92,108.025,6.485,48.72,.007,.007,.007,-.061,-.061,-.061,4.7
MS130005,MYBMS1300057,MGS 5/2013 3.733% 15.06.2028,01-JUN-2020,2.828,2.813,2.798,106.464,106.575,106.687,6.849,55.075,.002,.002,.002,-.025,-.025,-.025,4.7
MX080003,MYBMX0800032,MGS 3/2008 5.248% 15.09.2028,01-JUN-2020,2.975,2.955,2.935,116.58,116.74,116.9,6.79,55.169,.001,.001,.001,-.023,-.024,-.024,3
MO190002,MYBMO1900020,MGS 2/2019 3.885% 15.08.2029,01-JUN-2020,2.816,2.801,2.786,108.613,108.74,108.867,7.691,69.612,-.001,-.001,-.001,0,0,0,5
MX100003,MYBMX1000038,MGS 3/2010 4.498% 15.04.2030,01-JUN-2020,2.94,2.925,2.91,113.267,113.404,113.542,8.05,76.961,-.001,-.001,-.001,.003,.003,.003,4
