STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MO090002,MYBMO0900021,MGS 2/2009 4.378% 29.11.2019,01-NOV-2019,3.152,3.147,3.142,100.089,100.089,100.089,.076,.012,.085,.085,.085,-.01,-.01,-.01,5
ML120006,MYBML1200062,MGS 6/2012 3.492% 31.03.2020,01-NOV-2019,3.034,3.029,3.024,100.183,100.185,100.187,.407,.332,.004,.004,.004,-.003,-.003,-.003,5
MK130006,MYBMK1300062,MGS 6/2013 3.889% 31.07.2020,01-NOV-2019,3.057,3.052,3.047,100.606,100.61,100.614,.727,.89,.004,.004,.004,-.005,-.005,-.005,4.7
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,01-NOV-2019,3.062,3.057,3.052,100.555,100.56,100.565,.93,1.328,-.029,-.029,-.029,.025,.025,.025,5
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,01-NOV-2019,3.108,3.103,3.098,100.414,100.42,100.426,1.244,2.179,.044,.044,.044,-.056,-.057,-.057,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,01-NOV-2019,3.1,3.095,3.09,101.742,101.75,101.758,1.619,3.483,.004,.004,.004,-.01,-.01,-.01,4.7
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,01-NOV-2019,3.109,3.104,3.099,101.731,101.74,101.749,1.826,4.295,-.031,-.031,-.031,.057,.057,.057,4.3
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,01-NOV-2019,3.099,3.094,3.089,101.04,101.05,101.06,1.962,4.936,-.05,-.05,-.05,.1,.1,.1,4.3
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,01-NOV-2019,3.162,3.157,3.152,101.62,101.632,101.643,2.229,6.195,-.028,-.028,-.028,.062,.062,.062,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,01-NOV-2019,3.134,3.129,3.124,100.751,100.764,100.777,2.624,8.384,-.029,-.029,-.029,.079,.079,.079,4.3
