STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
PL150011,MYBPL1500118,GSNK 5.05% 09.06.2023 (Series 2),02-DEC-2019,3.859,3.792,3.725,102.828,102.99,103.153,2.3,7.255,-.001,-.001,-.001,-.007,-.007,-.007,1.7
PP150012,MYBPP1500127,GSNK 5.350% 11.06.2027 (Series 3),02-DEC-2019,4.192,4.12,4.048,106.091,106.484,106.879,5.022,31.409,0,0,0,-.008,-.008,-.009,0
VK150137,MYBVK1501371,IHSAN IMTN 4.300% 17.06.2022 - First Sukuk Ihsan,02-DEC-2019,3.765,3.716,3.667,101.253,101.371,101.49,2.332,7.862,-.002,0,.002,0,-.005,-.009,0
VK170233,MYBVK1702334,IHSAN IMTN 4.600% 08.08.2024 - Second Sukuk Ihsan,02-DEC-2019,3.913,3.864,3.815,102.869,103.079,103.29,4.11,21.856,-.002,0,.002,.004,-.005,-.014,0
PN150013,MYBPN1500130,KRUNG THAI 5.100% 04.07.2025 - Tranche No 1,02-DEC-2019,3.955,3.924,3.893,100.66,100.678,100.696,.568,.607,-.001,-.001,-.001,-.008,-.008,-.008,2.3
UG170124,MYBUG1701245,NGISB MTN 1095D 28.8.2020 (SERIES 1),02-DEC-2019,3.558,3.506,3.454,100.746,100.784,100.822,.713,.865,-.001,-.001,-.001,-.008,-.008,-.008,0
UH170125,MYBUH1701250,NGISB MTN 1459D 27.8.2021 (SERIES 2),02-DEC-2019,3.67,3.618,3.566,101.627,101.715,101.802,1.638,3.559,-.001,-.001,-.001,-.006,-.006,-.007,0
UI170126,MYBUI1701266,NGISB MTN 1826D 29.8.2022 (SERIES 3),02-DEC-2019,3.739,3.702,3.665,102.604,102.701,102.799,2.527,7.896,-.001,-.001,-.001,-.005,-.005,-.005,3
UJ170127,MYBUJ1701272,NGISB MTN 2191D 29.8.2023 (SERIES 4),02-DEC-2019,3.806,3.754,3.702,103.429,103.612,103.796,3.37,13.668,0,0,0,-.007,-.008,-.008,0
UK170128,MYBUK1701288,NGISB MTN 2557D 29.8.2024 (SERIES 5),02-DEC-2019,3.867,3.815,3.763,104.214,104.443,104.673,4.173,20.742,0,0,0,-.007,-.007,-.007,0
UL170129,MYBUL1701294,NGISB MTN 2922D 29.8.2025 (SERIES 6),02-DEC-2019,3.922,3.88,3.838,105.232,105.453,105.674,4.932,28.929,-.001,-.001,-.001,-.001,-.001,-.002,2
UM170130,MYBUM1701300,NGISB MTN 3286D 28.8.2026 (SERIES 7),02-DEC-2019,3.978,3.936,3.894,105.982,106.237,106.493,5.655,38.132,0,0,0,-.006,-.007,-.007,2.7
UN170131,MYBUN1701316,NGISB MTN 3650D 27.8.2027 (SERIES 8),02-DEC-2019,4.031,3.979,3.927,106.707,107.064,107.422,6.342,48.231,0,0,0,-.006,-.006,-.007,0
UO170132,MYBUO1701322,NGISB MTN 4018D 29.8.2028 (SERIES 9),02-DEC-2019,4.064,4.012,3.96,107.916,108.313,108.713,6.994,59.116,-.001,-.001,-.001,.002,.001,.001,0
UP170133,MYBUP1701337,NGISB MTN 4383D 29.8.2029 (SERIES 10),02-DEC-2019,4.093,4.041,3.989,108.812,109.249,109.688,7.616,70.697,-.001,-.001,-.001,.002,.002,.001,0
UQ170134,MYBUQ1701343,NGISB MTN 4748D 29.8.2030 (SERIES 11),02-DEC-2019,4.114,4.072,4.03,109.775,110.159,110.544,8.207,82.849,.001,.001,.001,-.015,-.015,-.016,2
