STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MK130006,MYBMK1300062,MGS 6/2013 3.889% 31.07.2020,03-AUG-2020,1.288,1.275,1.262,100,100,100,0,0,-.002,-.002,-.002,.003,.003,.003,4.7
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,03-AUG-2020,1.747,1.734,1.721,100.376,100.379,100.382,.199,.079,-.083,-.083,-.083,-.003,-.003,-.003,5
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,03-AUG-2020,1.696,1.683,1.67,100.922,100.929,100.936,.52,.533,.003,.003,.003,-.02,-.02,-.02,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,03-AUG-2020,1.769,1.756,1.743,102.238,102.25,102.262,.93,1.331,-.011,-.011,-.011,-.015,-.016,-.017,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,03-AUG-2020,1.767,1.754,1.741,102.601,102.616,102.631,1.119,1.829,-.02,-.02,-.02,0,0,0,4.7
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,03-AUG-2020,1.774,1.761,1.748,102.402,102.419,102.436,1.286,2.312,-.036,-.036,-.036,.028,.028,.028,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,03-AUG-2020,1.847,1.834,1.821,103.199,103.22,103.241,1.534,3.174,-.007,-.007,-.007,-.01,-.01,-.01,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,03-AUG-2020,1.875,1.862,1.849,103.064,103.09,103.116,1.934,4.812,-.018,-.018,-.018,.02,.02,.02,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,03-AUG-2020,1.87,1.857,1.844,104.052,104.08,104.108,2.05,5.344,-.037,-.037,-.037,.06,.06,.06,4.7
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,03-AUG-2020,1.941,1.928,1.915,103.906,103.94,103.973,2.471,7.534,-.014,-.014,-.014,.02,.02,.019,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,03-AUG-2020,1.982,1.969,1.956,104.665,104.7,104.735,2.557,8.024,-.006,-.006,-.006,0,0,0,5
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,03-AUG-2020,2.004,1.991,1.978,105.269,105.308,105.347,2.827,9.751,-.015,-.015,-.015,.029,.028,.028,4.7
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,03-AUG-2020,2.038,2.025,2.012,105.321,105.37,105.42,3.603,15.268,-.012,-.012,-.012,.029,.028,.028,5
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,03-AUG-2020,2.048,2.035,2.022,108.049,108.1,108.151,3.649,15.699,-.01,-.01,-.01,.017,.016,.016,4.3
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,03-AUG-2020,2.078,2.065,2.052,107.851,107.905,107.959,3.794,17.077,-.025,-.025,-.025,.082,.082,.082,4.3
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,03-AUG-2020,2.18,2.167,2.154,107.431,107.491,107.55,4.18,20.609,-.012,-.012,-.012,.037,.038,.037,4
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,03-AUG-2020,2.232,2.204,2.176,112.137,112.277,112.417,4.434,23.098,-.013,-.013,-.013,.035,.035,.035,1.3
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,03-AUG-2020,2.122,2.109,2.096,108.844,108.91,108.976,4.591,24.773,-.013,-.013,-.013,.05,.05,.05,5
MS110003,MYBMS1100036,MGS 3/2011 4.392% 15.04.2026,03-AUG-2020,2.348,2.33,2.312,110.841,110.942,111.044,5.022,29.675,-.022,-.022,-.022,.103,.102,.103,3.3
ML190001,MYBML1900018,MGS 1/2019 3.906% 15.07.2026,03-AUG-2020,2.214,2.201,2.188,109.382,109.458,109.534,5.328,32.845,-.026,-.026,-.026,.138,.138,.138,5
MX060002,MYBMX0600028,MGS 2/2006 4.709% 15.09.2026,03-AUG-2020,2.276,2.253,2.23,113.815,113.956,114.097,5.297,33.248,-.03,-.03,-.03,.156,.156,.156,2.3
MO160003,MYBMO1600034,MGS 3/2016 3.900% 30.11.2026,03-AUG-2020,2.238,2.225,2.212,109.75,109.83,109.911,5.605,36.467,-.015,-.015,-.015,.081,.08,.081,4.7
MS120002,MYBMS1200026,MGS 2/2012 3.892% 15.03.2027,03-AUG-2020,2.322,2.304,2.286,109.576,109.692,109.808,5.791,39.215,-.038,-.038,-.038,.228,.228,.228,3.3
