STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,02-NOV-2020,1.415,1.404,1.393,100.573,100.576,100.579,.284,.162,.002,.002,.002,-.017,-.017,-.017,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,02-NOV-2020,1.534,1.523,1.512,101.822,101.83,101.838,.686,.815,.043,.043,.043,-.052,-.052,-.052,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,02-NOV-2020,1.54,1.529,1.518,102.256,102.266,102.276,.892,1.244,-.014,-.014,-.014,-.007,-.007,-.007,4.7
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,02-NOV-2020,1.546,1.535,1.524,102.204,102.216,102.228,1.042,1.624,.001,.001,.001,-.018,-.018,-.018,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,02-NOV-2020,1.613,1.602,1.591,103.025,103.04,103.055,1.315,2.404,-.006,-.006,-.006,-.01,-.01,-.01,4.7
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,02-NOV-2020,1.664,1.653,1.642,103.07,103.09,103.11,1.722,3.874,.003,.003,.003,-.02,-.02,-.02,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,02-NOV-2020,1.695,1.684,1.673,103.929,103.95,103.971,1.84,4.357,.012,.012,.012,-.04,-.04,-.04,4.3
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,02-NOV-2020,1.758,1.747,1.736,103.974,104,104.026,2.265,6.37,-.012,-.012,-.012,.013,.013,.013,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,02-NOV-2020,1.822,1.811,1.8,104.642,104.67,104.697,2.355,6.835,-.013,-.013,-.013,.016,.017,.016,4.3
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,02-NOV-2020,1.805,1.794,1.783,105.403,105.434,105.465,2.635,8.472,-.018,-.018,-.018,.033,.033,.033,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,02-NOV-2020,1.894,1.883,1.872,105.507,105.547,105.586,3.36,13.456,-.03,-.03,-.03,.096,.097,.096,4.7
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,02-NOV-2020,1.9,1.889,1.878,108.113,108.154,108.195,3.407,13.876,-.031,-.031,-.031,.1,.1,.1,4.3
