STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
ML120006,MYBML1200062,MGS 6/2012 3.492% 31.03.2020,02-MAR-2020,2.69,2.681,2.672,100.06,100.061,100.062,.079,.013,-.049,-.049,-.049,-.002,-.002,-.002,5
MK130006,MYBMK1300062,MGS 6/2013 3.889% 31.07.2020,02-MAR-2020,2.621,2.612,2.603,100.517,100.521,100.524,.41,.337,-.034,-.034,-.034,.004,.004,.004,4.7
MJ150003,MYBMJ1500036,MGS 3/2015 3.659% 15.10.2020,02-MAR-2020,2.544,2.535,2.526,100.679,100.685,100.691,.604,.667,-.063,-.063,-.063,.03,.03,.03,5
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,02-MAR-2020,2.57,2.561,2.552,100.817,100.825,100.834,.936,1.341,-.039,-.039,-.039,.031,.03,.03,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,02-MAR-2020,2.58,2.571,2.562,102.113,102.125,102.137,1.324,2.43,-.056,-.056,-.056,.065,.065,.065,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,02-MAR-2020,2.593,2.584,2.575,102.241,102.255,102.269,1.5,3.052,-.092,-.092,-.092,.133,.133,.133,4.3
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,02-MAR-2020,2.589,2.58,2.571,101.749,101.765,101.78,1.671,3.673,-.036,-.036,-.036,.053,.053,.053,4.3
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,02-MAR-2020,2.613,2.604,2.595,102.482,102.5,102.518,1.905,4.698,-.015,-.015,-.015,.02,.02,.02,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,02-MAR-2020,2.601,2.592,2.583,101.931,101.953,101.974,2.344,6.765,-.035,-.035,-.035,.078,.079,.078,4.3
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,02-MAR-2020,2.601,2.592,2.583,102.958,102.981,103.003,2.414,7.244,-.036,-.036,-.036,.081,.081,.08,4.3
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,02-MAR-2020,2.61,2.601,2.592,102.524,102.55,102.577,2.827,9.726,-.036,-.036,-.036,.1,.1,.1,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,02-MAR-2020,2.635,2.626,2.617,103.353,103.38,103.408,2.912,10.274,-.022,-.022,-.022,.06,.059,.06,4.7
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,02-MAR-2020,2.677,2.668,2.659,103.688,103.718,103.749,3.233,12.407,-.013,-.013,-.013,.035,.034,.035,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,02-MAR-2020,2.642,2.633,2.624,103.363,103.4,103.437,3.943,18.215,-.039,-.039,-.039,.156,.156,.156,5
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,02-MAR-2020,2.653,2.644,2.635,106.263,106.301,106.339,3.98,18.634,-.04,-.04,-.04,.156,.155,.155,4.3
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,02-MAR-2020,2.69,2.681,2.672,105.86,105.9,105.94,4.115,20.076,.01,.01,.01,-.052,-.052,-.052,4.3
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,02-MAR-2020,2.671,2.657,2.643,105.667,105.735,105.802,4.496,23.858,-.037,-.037,-.037,.169,.169,.168,3.7
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,02-MAR-2020,2.798,2.779,2.76,110.101,110.2,110.3,4.735,26.402,.016,.016,.016,-.099,-.1,-.1,2.3
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,02-MAR-2020,2.692,2.683,2.674,106.452,106.5,106.548,4.894,28.22,-.034,-.034,-.034,.167,.168,.168,4.7
MS110003,MYBMS1100036,MGS 3/2011 4.392% 15.04.2026,02-MAR-2020,2.765,2.751,2.737,109.1,109.183,109.265,5.314,33.351,-.032,-.032,-.032,.176,.177,.177,3.3
ML190001,MYBML1900018,MGS 1/2019 3.906% 15.07.2026,02-MAR-2020,2.777,2.768,2.759,106.546,106.6,106.654,5.623,36.71,-.015,-.015,-.015,.082,.082,.082,5
MX060002,MYBMX0600028,MGS 2/2006 4.709% 15.09.2026,02-MAR-2020,2.82,2.801,2.782,111.2,111.32,111.44,5.565,36.905,-.008,-.008,-.008,.034,.034,.034,2
MO160003,MYBMO1600034,MGS 3/2016 3.900% 30.11.2026,02-MAR-2020,2.804,2.795,2.786,106.693,106.75,106.807,5.888,40.427,.031,.031,.031,-.203,-.204,-.204,4.3
MS120002,MYBMS1200026,MGS 2/2012 3.892% 15.03.2027,02-MAR-2020,2.879,2.865,2.851,106.408,106.5,106.592,6.062,43.206,.037,.037,.037,-.249,-.249,-.25,3
MX070003,MYBMX0700034,MGS 3/2007 3.502% 31.05.2027,02-MAR-2020,2.756,2.747,2.738,104.87,104.93,104.991,6.342,46.603,-.027,-.027,-.027,.18,.18,.18,5
MO170004,MYBMO1700040,MGS 4/2017 3.899% 16.11.2027,02-MAR-2020,2.77,2.761,2.752,107.78,107.845,107.91,6.613,51.134,-.026,-.026,-.026,.177,.177,.177,4.7
MS130005,MYBMS1300057,MGS 5/2013 3.733% 15.06.2028,02-MAR-2020,2.807,2.798,2.789,106.801,106.87,106.939,7.095,58.631,-.023,-.023,-.023,.17,.17,.17,4.7
MX080003,MYBMX0800032,MGS 3/2008 5.248% 15.09.2028,02-MAR-2020,2.88,2.861,2.842,117.809,117.967,118.124,6.891,57.498,-.022,-.022,-.022,.171,.171,.171,2.7
MO190002,MYBMO1900020,MGS 2/2019 3.885% 15.08.2029,02-MAR-2020,2.822,2.813,2.804,108.772,108.85,108.928,7.946,73.701,-.018,-.018,-.018,.15,.15,.15,5
MX100003,MYBMX1000038,MGS 3/2010 4.498% 15.04.2030,02-MAR-2020,2.986,2.977,2.968,113.116,113.2,113.284,8.13,79.412,.011,.011,.011,-.114,-.114,-.115,4
MX110004,MYBMX1100044,MGS 4/2011 4.232% 30.06.2031,02-MAR-2020,3.034,3.025,3.016,111.408,111.5,111.591,9.058,98.044,.016,.016,.016,-.169,-.169,-.17,4
MX120004,MYBMX1200042,MGS 4/2012 4.127% 15.04.2032,02-MAR-2020,3.034,3.015,2.996,111.01,111.214,111.418,9.529,109.663,-.006,-.006,-.006,.051,.051,.051,2.7
